Linux 6.6.87.2-microsoft-standard-WSL2 (PrincessPi-Desk) 	11/04/2025 	_x86_64_	(24 CPU)

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM   kB_rd/s   kB_wr/s kB_ccwr/s iodelay  Command
1762262310   1000    164568   98.00    2.00    0.00    0.00    4.17    15    989.50      0.00 1762980   38784   0.24      0.00      8.00      0.00       0  oniux

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM   kB_rd/s   kB_wr/s kB_ccwr/s iodelay  Command
1762262312   1000    164568   98.00    1.00    0.00    0.00    4.13    15    807.50      0.00 1759736   45764   0.28      0.00     12.00      0.00       0  oniux

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM   kB_rd/s   kB_wr/s kB_ccwr/s iodelay  Command
1762262314   1000    164568   97.00    3.50    0.00    0.00    4.19    15   2553.00      0.00 1761956   73028   0.45      0.00      0.00      0.00       0  oniux

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM   kB_rd/s   kB_wr/s kB_ccwr/s iodelay  Command
1762262316   1000    164568   99.00    1.00    0.00    0.00    4.17    15    121.50      0.00 1761956   73988   0.45      0.00      0.00      0.00       0  oniux

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM   kB_rd/s   kB_wr/s kB_ccwr/s iodelay  Command
1762262318   1000    164568   99.50    0.50    0.00    0.00    4.17    15     34.00      0.00 1761956   74180   0.45      0.00      0.00      0.00       0  oniux

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM   kB_rd/s   kB_wr/s kB_ccwr/s iodelay  Command
1762262320   1000    164568   99.00    0.50    0.00    0.00    4.15    15     57.50      0.00 1761956   74756   0.46      0.00      0.00      0.00       0  oniux

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM   kB_rd/s   kB_wr/s kB_ccwr/s iodelay  Command
1762262322   1000    164568   99.00    1.50    0.00    0.00    4.19    15     30.00      0.00 1761956   74948   0.46      0.00      0.00      0.00       0  oniux

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM   kB_rd/s   kB_wr/s kB_ccwr/s iodelay  Command
1762262324   1000    164568   99.00    1.00    0.00    0.00    4.17    15     56.50      0.00 1761296   74724   0.46      0.00      0.00      0.00       0  oniux

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM   kB_rd/s   kB_wr/s kB_ccwr/s iodelay  Command
1762262326   1000    164568   99.00    1.00    0.00    0.00    4.17    15     39.00      0.00 1761296   75108   0.46      0.00      0.00      0.00       0  oniux

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM   kB_rd/s   kB_wr/s kB_ccwr/s iodelay  Command
1762262328   1000    164568   99.50    0.50    0.00    0.00    4.16    15    102.50      0.00 1761296   75876   0.46      0.00      0.00      0.00       0  oniux

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM   kB_rd/s   kB_wr/s kB_ccwr/s iodelay  Command
1762262330   1000    164568  257.00    0.50    0.00    0.00   10.73    15    551.00      0.00 1765464   84620   0.52      0.00      0.00      0.00       0  oniux

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM   kB_rd/s   kB_wr/s kB_ccwr/s iodelay  Command
1762262332   1000    164568   66.00    1.00    0.00    0.00    2.79    15    328.00      0.00 1759736   82340   0.50      0.00     12.00      0.00       0  oniux
185.220.101.5

